Ranking,Title,IMDB,Rating,Year
24,Jingle All the Way,5.0,PG,1996
24,The Fifth Element,7.5,PG-13,1997
24,City of Angels,6.4,PG-13,1998
24,The Haunting,4.6,PG-13,1999
24,Space Cowboys,6.3,PG-13,2000
24,Save the Last Dance,5.9,PG-13,2001
24,Black Hawk Down,7.7,R,2002
24,The Italian Job,6.9,PG-13,2003
24,Starsky & Hutch,6.2,PG-13,2004
24,Brokeback Mountain,7.8,R,2005
24,Open Season,6.1,PG,2006
24,Hairspray,7.2,PG,2007
24,Angels & Demons,6.6,PG-13,2009
24,Valentine's Day,5.7,PG-13,2010
24,Prometheus,7.3,R,2012
24,G.I. Joe: Retaliation,6.0,PG-13,2013
24,Lone Survivor,7.7,R,2014
24,Insurgent,6.5,PG-13,2015
24,Sully,7.6,PG-13,2016
24,Ready Player One,7.6,PG-13,2018
24,Little,5.4,,2019
25,Look Who's Talking Too,4.1,PG-13,1990
25,The Rocketeer,6.2,PG,1991
25,Unlawful Entry,6.0,R,1992
25,The Nightmare Before Christmas,8.0,PG,1993
25,When a Man Loves a Woman,6.2,R,1994
25,Babe,7.1,G,1995
25,The Cable Guy,5.9,PG-13,1996
25,Mousehunt,6.1,PG,1997
25,Everest,7.2,G,1998
25,The Emperor's New Groove,7.3,G,2000
25,Atlantis: The Lost Empire,6.5,G,2001
25,How to Lose a Guy in 10 Days,6.1,PG-13,2003
25,Monster-in-Law,5.1,PG-13,2005
25,Eagle Eye,6.6,PG-13,2008
25,Terminator Salvation,6.8,PG-13,2009
25,Green Lantern,6.1,PG-13,2011
25,The Fault in Our Stars,8.2,PG-13,2014
25,Kingsman: The Secret Service,7.7,R,2015
25,Wonder,8.1,PG,2017
25,Breakthrough,5.8,,2019
26,Hard to Kill,5.2,R,1990
26,Thelma & Louise,7.3,R,1991
26,Beethoven,5.3,PG,1992
26,Sommersby,5.9,PG-13,1993
26,Legends of the Fall,7.1,R,1995
26,Courage Under Fire,6.6,R,1996
26,The Saint,5.9,PG-13,1997
26,The Horse Whisperer,6.4,PG-13,1998
26,Pocket Monsters: Mewtwo Strikes Back!,4.8,G,1999
26,Jimmy Neutron: Boy Genius,5.9,G,2001
26,Panic Room,6.9,R,2002
26,Mean Girls,7.0,PG-13,2004
26,The Pink Panther,5.2,PG,2006
26,Ocean's Thirteen,6.9,PG-13,2007
26,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.4,PG,2010
26,The Vow,6.7,PG-13,2012
26,Now You See Me,7.3,PG-13,2013
26,Unbroken,7.2,PG-13,2014
26,The Good Dinosaur,6.8,PG,2015
26,The Angry Birds Movie,6.3,PG,2016
26,Transformers: The Last Knight,5.2,PG-13,2017
26,Mamma Mia! Here We Go Again,7.2,PG-13,2018
26,The Intruder,5.4,,2019
27,Goodfellas,8.8,R,1990
27,Point Break,6.9,R,1991
27,Forever Young,6.0,PG,1992
27,Last Action Hero,5.9,PG-13,1993
27,The River Wild,6.2,PG-13,1994
27,Jack,5.3,PG-13,1996
27,The Devil's Advocate,7.3,R,1997
27,Six Days Seven Nights,5.6,PG-13,1998
27,Payback,7.0,R,1999
27,U-571,6.5,PG-13,2000
27,Artificial Intelligence: AI,7.0,PG-13,2001
27,Daddy Day Care,5.5,PG,2003
27,The SpongeBob SquarePants Movie,6.9,PG,2004
27,Are We There Yet?,4.2,PG,2005
27,MASH,7.6,R,2006
27,You Don't Mess with the Zohan,5.7,PG-13,2008
27,Inglourious Basterds,8.4,R,2009
27,Black Swan,8.4,R,2011
27,Night at the Museum 3 Secret of the Tomb,6.3,PG,2014
27,Spy,7.2,R,2015
27,Independence Day: Resurgence,5.4,PG-13,2016
27,Fifty Shades Darker,4.6,R,2017
27,The Nun,5.7,R,2018
27,The Hustle,5.2,,2019
28,Marked for Death,5.3,R,1990
28,Regarding Henry,6.5,PG-13,1991
28,Alien 3,6.4,R,1992
28,Addams Family Values,6.3,PG-13,1993
28,D2: The Mighty Ducks,5.1,PG,1994
28,The American President,6.8,PG-13,1995
28,Twelve Monkeys,8.1,R,1996
